,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
44,"Large crabs",0,0,0,0,9.29999E-05,9.999991E-07,0,0.01709602,0.02262897,0.02262897,0,0,0,0.0006440007,0.009989989,0.009989989,0,0,0.003362997,0.003651996,0.002453998,0.000228,0.002008998,0.01136499,0.00136,0,0,0,0,0,0.0001609998,0.0004240004,0.001319,0.005867994,0.005734994,0,0,0,0,0,0.02003702,0,0.005944,0.001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,"Small crabs",0,0,0,0,0,0,0.006644,0.1857692,0.1731288,0.1731288,0.0008500001,0,0,0.2296602,0.1033519,0.1033519,0.003205569,0.0001099999,0.007745991,0.01392199,0.1821278,0.264914,0.0996079,0.1766018,0.011512,0,0,0,0.016303,0,0.01654298,0.05755806,0.092844,0.3476897,0.3389587,0,0,0,0,0,0.003498004,0.014737,0.110362,0.02056,0,0,0,0,0.00686,0,0,0,0,0,0,0,0,0,0,
46,Shrimps,0,0,0.0007109993,0,0,0.003309997,0.102318,0.06881607,0.005501993,0.005501993,0.122673,0.074385,0.006444001,0.2295252,0.002236998,0.002236998,0.2326323,0.08527492,0.01903198,0.005200994,0.09076391,0.02218,0.05435595,0.0996329,0.034228,0.058683,0.207457,0.136381,0.007813,0.0006720006,0.001377999,0.03517104,0.022234,0.1342779,0.1279749,0.0675,0.0675,0.03362296,0.025021,0,0.1077271,0.010014,0.000164,0.004209,0,0,0,0,0.020851,0,0,0,0,0,0,0,0,0,0,
47,Scallop,0,0,0,0,0,0,0,0.0002560002,7.999991E-06,7.999991E-06,0,0,0,0,0,0,0,0,3.999996E-06,0.0001039999,0.02106898,0.196245,0,0,0.002766,0,0,0.031627,0.043077,0,0.0007229993,0.0009190009,0.00095,0.0003399997,0.0003309996,0,0,0,0,0,0,0,0,0.01727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,Bivalves,0,0,0,0,0,0,0,0.002550002,0.009014989,0.009014989,0,0.000301,7.000001E-06,0,0.0001319999,0.0001319999,0,0.0002389998,0.0008179991,0.0005709993,0.03552497,0.065873,0.001373999,7.499993E-05,4E-06,0,0,0.274346,0.054735,0.08711208,0.04039396,0.1019161,0.038664,0.0001599999,0.0001569998,0,0,0,0,0,0.03415903,0,0.264599,0.491575,0.05595795,0,0,0,0.332281,0,0.016104,0,0,0,0,0,0,0,0,
49,"Other molluscs",0,0,0,0,0,0,0,0.005864006,0.002303997,0.002303997,0,0,0,0,0.0001219999,0.0001219999,0.007092156,5.699995E-05,0.001659998,9.99999E-07,0.0008549992,0.05410101,0.0001459999,0.004686995,0.0004469999,0,0,0.027576,0.010781,0.009591009,0.01150099,0.008003009,0.018815,0.004689995,0.004567995,0,0,0,0,0,0.02048402,0,0.038274,0.051839,0.05595795,0,0,0,0.027689,0,0.008389,0,0,0,0,0,0,0,0,
50,"Other arthropoda",0,0,0,0,0,0,0.232479,0.001346001,7.199992E-05,7.199992E-05,0.026944,0.006414,0,0,0,0,0.01495797,0,0.001424999,7.199992E-05,0.03453997,0.0251,0.04237796,0.003397997,2.6E-05,0.020983,0.003376,0.03555501,0.005059,0.1171171,0.08391692,0.05415006,0.016159,0.01903898,0.01856198,0.023112,0.023112,0.06520893,0.031488,0,0.1160341,0,0.003578,0.011448,0.01618998,0.004533,0,0,0.03083,0.0075,0.002502,0,0.02,0,0,0,0,0,0,
51,Echinoderms,0,0,0,0,0,0,0.016056,0.01940102,0.01034699,0.01034699,0,0,0,0,0,0,0,0.0001209999,0,9.99999E-07,0.04334996,0.09409402,0,0.001664998,2.1E-05,0,0,0.127529,0.266447,0.02438802,0.02435898,0.2073532,0.37349,0.01032099,0.01005499,0,0,0,0,0,0.02519003,0,0.267847,0.085048,0,0,0,0,0.027689,0,0,0,0,0,0,0,0,0,0,
52,"Sessile benthic groups",0,0,0,0,0,0.01216899,0,0.02467202,0.02574297,0.02574297,0,0,0,0,0.004950995,0.004950995,0.0001852695,1.499999E-05,0.001779998,0,0.003615997,0.0005690001,0.0008139993,0.0002279998,0.0005589999,0,0,0,0.000183,0.07454707,0.1506929,0.001112001,0.037861,0.003652997,0.003560996,0.003573,0.003573,0,0.002512,0,0.005539006,0,0.074532,0.000287,0.05595795,0,0,0,0,0,0.008389,0,0,0,0,0,0,0,0,
53,Worms,0,0,0,0,0,0,0.004012,0.005415005,0.001838998,0.001838998,0.001834,1E-06,0,0.01681102,0.0001949998,0.0001949998,0.0009884431,0,0.001282999,0,0.02201298,0.035901,0.2152108,0.1659708,0.004025,0,0,0.119117,0.057396,0.4499434,0.5097205,0.1840372,0.109511,0.03638997,0.03545596,0,0,0.0008799991,0.008373,0,0.2088902,0.013273,0.076097,0.30299,0.1119149,0.015272,0,0,0,0,0.008389,0,0.070001,0,0,0,0,0,0,
